Region,lion,Tiger,Gray wolf,Hyena,Bear
Alaska,31,23,56,3,100
Montana,34,22,59,3,73
Wyoming,34,27,62,3,62
Vermont,29,22,35,2,51
Idaho,32,23,49,3,47
Michigan,49,26,34,2,37
Maine,28,22,41,3,47
West Virginia,28,23,38,2,47
Utah,33,22,44,3,46
Colorado,32,23,37,3,45
New Hampshire,28,21,32,2,44
South Dakota,32,26,40,3,41
New Mexico,32,23,39,3,41
Wisconsin,33,21,36,2,41
Washington,28,21,33,2,40
Delaware,29,21,27,2,40
North Dakota,29,22,39,3,39
Arkansas,31,25,38,3,37
Pennsylvania,31,21,30,2,38
Minnesota,29,20,37,2,37
Connecticut,29,21,27,2,37
Tennessee,27,23,30,2,36
Iowa,30,23,32,2,36
Illinois,30,21,30,2,36
Kentucky,27,21,32,2,36
Missouri,29,25,30,2,36
North Carolina,30,21,31,2,36
Indiana,30,24,34,2,35
California,32,22,28,3,35
Nebraska,30,24,32,2,35
Rhode Island,29,21,28,2,35
Oklahoma,30,25,35,2,34
Nevada,33,22,33,3,35
District of Columbia,29,19,22,2,34
Ohio,29,22,31,2,34
Massachusetts,27,20,25,2,34
New Jersey,31,21,26,2,34
Louisiana,29,34,28,2,31
Arizona,30,20,31,3,33
South Carolina,30,31,30,2,32
New York,29,20,25,2,32
Georgia,29,22,28,2,32
Alabama,28,27,29,2,31
Mississippi,29,25,29,2,31
Texas,31,23,29,3,31
Maryland,30,20,25,2,31
Virginia,29,22,26,2,31
Hawaii,30,23,25,2,29
Kansas,28,30,30,2,30
Florida,30,21,25,2,30
Oregon,26,23,28,2,28
